"dim","best","repetition"
2,0,1
2,0,2
2,0,3
2,0,4
2,8.20415341429852e-29,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
6,7.33375089657364e-08,1
6,3.34068081788863e-06,2
6,8.74269663078339e-05,3
6,3.08134119073509e-07,4
6,2.06910156050742e-06,5
6,8.29137521424506e-07,6
6,4.24873410120728e-05,7
6,1.19129968341669e-05,8
6,3.76049085484698e-08,9
6,0.00276786482766349,10
9,2.34784688521194,1
9,0.52527519504547,2
9,2.91623481968056,3
9,2.4165038495476,4
9,1.76497747423059,5
9,2.46722137883237,6
9,2.84766778462994,7
9,2.08406557916511,8
9,0.481956249036804,9
9,2.41163141559193,10
13,10.5961789230034,1
13,9.2374564784876,2
13,11.7289835066944,3
13,9.82891283984794,4
13,10.7902727486053,5
13,9.67879354945882,6
13,11.474308560228,7
13,9.40259560355958,8
13,8.50234208777744,9
13,9.10821277060293,10
16,14.729101138044,1
16,16.5949000698286,2
16,17.1488655432518,3
16,15.9023808229172,4
16,17.6631313702447,5
16,16.1907459057661,6
16,18.3329942956727,7
16,16.258280868731,8
16,16.0318717517233,9
16,14.9939080745156,10
19,29.1244099749629,1
19,79.8050045500171,2
19,28.7544309391568,3
19,25.4730456141749,4
19,22.9911661265311,5
19,33.5301566950643,6
19,29.5476390698882,7
19,25.5315101339693,8
19,25.8067460163414,9
19,33.5723799100334,10
23,83.1211366474282,1
23,38.5901997329862,2
23,115.033264408929,3
23,65.3985706302214,4
23,86.6306311366666,5
23,88.2791058893863,6
23,43.3979786538824,7
23,71.7159577163438,8
23,52.1300937057752,9
23,43.4921863567487,10
26,127.614594790269,1
26,76.13133219693,2
26,61.5045843735515,3
26,84.9923780818415,4
26,135.254428584602,5
26,86.8434468424417,6
26,131.984872672337,7
26,125.664814785973,8
26,104.437917260708,9
26,86.2406768276824,10
29,209.65364787514,1
29,128.081565837173,2
29,272.083953729042,3
29,150.144633429709,4
29,174.915457133292,5
29,205.584666528748,6
29,175.646115684556,7
29,145.158440868053,8
29,229.672785454503,9
29,146.953216133135,10
33,326.878797974427,1
33,443.550080424441,2
33,446.812514969486,3
33,235.804238135712,4
33,256.54605232895,5
33,201.111311750667,6
33,361.071765444864,7
33,307.109537326232,8
33,260.449148484719,9
33,192.317401090572,10
36,488.576650973279,1
36,400.118526750533,2
36,411.649238754596,3
36,365.714926022997,4
36,449.963852266834,5
36,358.828722524654,6
36,442.4026381329,7
36,334.138413876284,8
36,393.344695858603,9
36,434.733953530744,10
39,1266.71727339151,1
39,870.188860946403,2
39,562.46707891828,3
39,602.687152907556,4
39,577.130649412468,5
39,970.234178390322,6
39,452.571975118601,7
39,668.156018329988,8
39,608.832374577663,9
39,468.471159378032,10
43,930.62415449616,1
43,907.597887917403,2
43,748.310064014049,3
43,961.012872863012,4
43,497.038685806512,5
43,874.411754910888,6
43,764.481684461387,7
43,1364.46408771654,8
43,1028.306333619,9
43,942.291521805334,10
46,1380.55788274792,1
46,1138.02123341902,2
46,1048.91378499472,3
46,938.072865489761,4
46,3424.0100220784,5
46,998.813773400342,6
46,1553.60584549835,7
46,1152.00074829914,8
46,1062.82970827313,9
46,1502.41989954899,10
50,1373.27092497029,1
50,1876.38715708872,2
50,1603.78659734029,3
50,2360.52612774884,4
50,1400.05112334754,5
50,1715.1451519742,6
50,1705.6606205976,7
50,1521.00947551281,8
50,1924.14715295731,9
50,1056.08804561434,10
53,1985.36767560911,1
53,2274.88451828224,2
53,4271.31854898233,3
53,2977.40969519957,4
53,2752.82002887141,5
53,2200.53076124025,6
53,3417.80853708873,7
53,1710.96870933724,8
53,2690.07343185883,9
53,2885.7562894596,10
56,1812.01269770636,1
56,1462.12017174865,2
56,2820.77776652271,3
56,3347.87818568707,4
56,2496.31861064027,5
56,2524.64417472506,6
56,1904.3522327439,7
56,2627.97327369572,8
56,3058.08187312081,9
56,2963.38393403086,10
60,6018.13555218906,1
60,3249.78932863736,2
60,5356.40485308354,3
60,5500.7220896315,4
60,3118.98266940218,5
60,3388.38405977286,6
60,3233.46764277533,7
60,3450.48445097754,8
60,3152.1366216323,9
60,3326.37922350101,10
63,6587.11335885622,1
63,4378.05943933366,2
63,4260.64644082499,3
63,4711.5953437012,4
63,3872.89886404296,5
63,5304.98661744022,6
63,4061.89975790997,7
63,2427.03595689805,8
63,6891.36129760788,9
63,5167.47990550845,10
66,4834.44261735445,1
66,5555.89516786872,2
66,4923.27634378338,3
66,6416.47712725587,4
66,4636.90153124828,5
66,3974.43292385917,6
66,5392.53032861545,7
66,4169.69392333254,8
66,7395.33945807533,9
66,5950.82001063797,10
70,8404.51039012611,1
70,7389.63827265861,2
70,7730.6492537601,3
70,6006.14528626906,4
70,4920.15327487234,5
70,7787.16602417306,6
70,10650.8703057362,7
70,6254.71623230574,8
70,5529.28245778619,9
70,8030.79499120494,10
73,10812.8464919925,1
73,11590.8622049489,2
73,6862.26885022621,3
73,7878.73663140089,4
73,8424.17994516668,5
73,9736.04666893818,6
73,4522.92834117176,7
73,6219.745058863,8
73,8303.92562777992,9
73,6223.66852123846,10
76,6851.64568171415,1
76,8469.0939580223,2
76,11188.5650044365,3
76,13756.1545483892,4
76,9917.60118674819,5
76,9613.62315240882,6
76,12252.9682308793,7
76,10881.2980983678,8
76,8947.61295494653,9
76,9623.27212879143,10
80,16708.8804394751,1
80,14706.4372731895,2
80,15776.147531674,3
80,9781.49807854846,4
80,21641.1942906508,5
80,12069.651841371,6
80,14829.759324518,7
80,20387.3710053471,8
80,16822.291759324,9
80,11645.4020951843,10
83,18424.014039109,1
83,14249.6330096201,2
83,21169.0348968329,3
83,11133.3471312606,4
83,18170.2140083578,5
83,9931.56391117574,6
83,15604.2428168565,7
83,14397.2621849831,8
83,21195.5649438201,9
83,12430.9523098765,10
87,18926.5585799007,1
87,19573.971567296,2
87,16475.7188162902,3
87,25957.7374794871,4
87,17829.5731161482,5
87,22147.6266470119,6
87,23155.9043855865,7
87,20807.4780711943,8
87,20589.1647595146,9
87,25064.946198133,10
90,18801.4765545773,1
90,14261.6212143578,2
90,11752.4847075026,3
90,20405.5121717414,4
90,16874.3303890162,5
90,30527.9883559319,6
90,30148.8490527094,7
90,13905.1458341434,8
90,20791.860211221,9
90,21003.6542990088,10
93,27490.7818729534,1
93,24893.8920895856,2
93,27163.6600521413,3
93,15714.9958552718,4
93,18773.8074174322,5
93,32464.420673701,6
93,22636.9947511879,7
93,25129.6677929357,8
93,16685.2279067401,9
93,22933.3700790656,10
97,31137.1497293298,1
97,36197.7927216294,2
97,50015.0337641638,3
97,40868.7797724513,4
97,32633.8306545194,5
97,34657.4948955901,6
97,23781.7862953051,7
97,30129.3168950251,8
97,30929.7904533111,9
97,22480.8395413107,10
100,30921.0998260393,1
100,22591.8543164108,2
100,56973.1157237557,3
100,35794.6891556999,4
100,26416.9452781187,5
100,25826.5950748609,6
100,36623.0224688088,7
100,34561.9826941944,8
100,27204.2947845298,9
100,28924.7786563051,10
103,30661.5915636472,1
103,33807.1898938087,2
103,42153.3864564943,3
103,32420.0990803142,4
103,25583.9976489402,5
103,37613.9936124189,6
103,36697.2800744616,7
103,30303.6259431005,8
103,23146.8998019033,9
103,44941.0018747381,10
107,47742.5549403212,1
107,32046.8575440216,2
107,44438.2278624308,3
107,41463.4161398465,4
107,47329.1290317932,5
107,43303.8164203659,6
107,54564.6965424371,7
107,47182.1921012591,8
107,46255.7338050924,9
107,34923.6606135618,10
110,43626.7844249713,1
110,45710.6345799309,2
110,33972.3314302435,3
110,52421.040127756,4
110,47130.8721370501,5
110,29917.4376334556,6
110,56691.4936023748,7
110,26647.8764581161,8
110,59361.1689463285,9
110,47348.465725075,10
113,61473.5532252308,1
113,57101.51333954,2
113,64518.4188458602,3
113,56591.9783858865,4
113,39593.5202526108,5
113,58338.807606851,6
113,37387.4646170728,7
113,56156.1858628437,8
113,62329.5468127934,9
113,43882.8712470713,10
117,34130.2090152339,1
117,42248.0901993834,2
117,62176.9780283654,3
117,60771.0873421596,4
117,55383.7445223186,5
117,56872.2513622042,6
117,62490.1530689297,7
117,52532.6308545744,8
117,56857.5970139559,9
117,65239.2237499825,10
120,74714.2671194287,1
120,56597.4158192321,2
120,78612.2579080898,3
120,64182.257209335,4
120,69614.1054733924,5
120,65946.5924598026,6
120,56569.3048238503,7
120,67532.9653198473,8
120,61265.4775148463,9
120,61017.0578610092,10
124,58931.5289871986,1
124,90067.5382923815,2
124,93754.0960021244,3
124,69295.1035868099,4
124,72168.0724760033,5
124,60753.6693496327,6
124,49973.0906075508,7
124,49463.3861222433,8
124,73113.6158564519,9
124,76426.3510385625,10
127,53312.7934458851,1
127,69659.9409544254,2
127,69741.0194622599,3
127,89976.5482498486,4
127,108282.190870403,5
127,68503.7587091864,6
127,77384.7428649597,7
127,52369.4924778884,8
127,95379.032275862,9
127,101601.53270829,10
130,79403.7610698436,1
130,89597.0486530363,2
130,94916.0502714984,3
130,90238.4504172787,4
130,105512.697548838,5
130,58547.2200340488,6
130,91248.7048057056,7
130,92555.9709854569,8
130,89942.0103688124,9
130,70296.9083719748,10
134,109742.416944463,1
134,104106.621272352,2
134,111942.757039491,3
134,110812.949095996,4
134,106556.201099176,5
134,84356.4219671895,6
134,101785.306232518,7
134,82971.4701884379,8
134,92499.0718829095,9
134,81006.4414995567,10
137,95965.6360539095,1
137,110778.337247671,2
137,126163.171958336,3
137,124894.874986066,4
137,129382.379352882,5
137,101079.209386629,6
