"dim","best","repetition"
2,4.92681390063362,1
2,7.80447099473601,2
2,11.6362442168843,3
2,1.44490150182925,4
2,4.09540655914465,5
2,6.95021260201513,6
2,4.75517397714589,7
2,18.989510696375,8
2,0.774245836592199,9
2,0.0424008897678841,10
6,240.806221289698,1
6,972.912754518007,2
6,942.746024987886,3
6,522.315146640111,4
6,57.0904551338728,5
6,151.459794865861,6
6,666.36649712727,7
6,72.5920222069072,8
6,669.601500596654,9
6,303.804506962706,10
9,5185.71223066894,1
9,164.170822841757,2
9,1749.42692724344,3
9,1325.14445603848,4
9,1681.3116858951,5
9,1266.75026016714,6
9,8482.2341060426,7
9,10007.3492632593,8
9,1992.66628577466,9
9,4572.4509160146,10
13,5653.55420373524,1
13,3304.03875333813,2
13,4389.60173020747,3
13,3025.18888424152,4
13,15523.9657368466,5
13,9808.09129660744,6
13,7131.54092875696,7
13,5012.54981993397,8
13,13659.1796824488,9
13,19215.0603621905,10
16,35759.4777610295,1
16,10503.1781961812,2
16,29459.8604444284,3
16,38242.5886621135,4
16,57068.6565932451,5
16,75459.3280277601,6
16,10847.7159444147,7
16,42528.909071103,8
16,79665.3291763654,9
16,58923.9800397278,10
19,49503.2083273196,1
19,78875.6489444195,2
19,43740.6890554634,3
19,149381.787775791,4
19,147862.973834458,5
19,28597.9912561847,6
19,110063.215014495,7
19,18157.721889721,8
19,16199.076120195,9
19,135395.310781441,10
23,170449.638889816,1
23,492137.688423893,2
23,100969.71532276,3
23,177297.940576758,4
23,457421.281790219,5
23,255297.411577775,6
23,238755.91145509,7
23,141702.906581777,8
23,361979.090220414,9
23,299068.971202198,10
26,357675.322852925,1
26,458781.417266964,2
26,394921.005149995,3
26,355655.558053992,4
26,474502.120239091,5
26,453970.219299853,6
26,462777.807374641,7
26,348443.643347959,8
26,266865.366951297,9
26,231236.034275852,10
29,422589.436535379,1
29,654251.756649228,2
29,780641.674138818,3
29,496974.189119914,4
29,822318.431075479,5
29,578809.474660371,6
29,491044.446184841,7
29,527879.837923749,8
29,839850.560478211,9
29,603838.358417596,10
33,779578.263017585,1
33,828738.434549946,2
33,1013778.7819829,3
33,886947.446404817,4
33,968186.120021974,5
33,856511.690766875,6
33,724793.763243491,7
33,838919.366380371,8
33,893506.026900263,9
33,843283.792978602,10
36,1086180.74889608,1
36,1030690.40424762,2
36,1010318.37689726,3
36,1104429.36485575,4
36,790108.142410679,5
36,1070371.80875773,6
36,1196642.90877062,7
36,987723.987948561,8
36,770024.559403021,9
36,883418.393107294,10
39,1493995.84854088,1
39,1476111.80906273,2
39,1318048.1127159,3
39,1569052.29402859,4
39,1570600.13698774,5
39,1462125.50406224,6
39,1469382.08749475,7
39,1230195.44783512,8
39,1294597.34849403,9
39,1404253.38015109,10
43,1415486.42311983,1
43,1611029.86844166,2
43,1681661.83424077,3
43,1299140.62724037,4
43,1974573.98958768,5
43,1659336.06715731,6
43,1541302.08903821,7
43,1574892.45201194,8
43,1830696.93115044,9
43,1478545.85102901,10
46,1675369.73457697,1
46,1617559.50353102,2
46,1520607.89030302,3
46,1687010.40846625,4
46,1779107.02817052,5
46,1965325.75779755,6
46,1921482.09077975,7
46,1924230.52653623,8
46,1993267.36088432,9
46,1982271.60282778,10
50,2068102.02772184,1
50,2152603.4776726,2
50,2320864.72212642,3
50,2260637.83113619,4
50,1829166.22748493,5
50,2437232.28982755,6
50,2263514.01999883,7
50,2183883.36976621,8
50,2040309.01626711,9
50,2102793.5161518,10
53,2732607.3525968,1
53,2102157.63716618,2
53,2272805.94816495,3
53,2278520.27697804,4
53,2810870.94063048,5
53,2484063.3791208,6
53,2448867.35649012,7
53,2690996.83917953,8
53,2440968.0344808,9
53,2452786.1927162,10
56,2736651.53999066,1
56,2562580.45230066,2
56,2660007.72649042,3
56,2368232.71004835,4
56,2688112.88636879,5
56,2776992.12551727,6
56,2922802.95014694,7
56,2307846.88274099,8
56,3056419.34035799,9
56,2869576.25037757,10
60,3178637.70579468,1
60,3759331.70534981,2
60,2606836.33602293,3
60,3086505.97590429,4
60,2717027.72144889,5
60,3274878.52984132,6
60,3078295.58786281,7
60,2892359.58441079,8
60,3494855.73724313,9
60,2862670.71378663,10
63,3601197.82707441,1
63,4406357.46026416,2
63,3542513.538774,3
63,3422727.27631405,4
63,3518955.5492517,5
63,2721987.67177109,6
63,3702169.19341934,7
63,3744817.38827404,8
63,3843700.04471325,9
63,4353650.35965311,10
66,4334146.38025306,1
66,4093332.78598737,2
66,3963780.002876,3
66,4240566.00687272,4
66,4044215.0887066,5
66,4180104.39834565,6
66,3911285.07793305,7
66,4424515.32462555,8
66,3345907.35650184,9
66,3506647.73368046,10
70,3619552.3453253,1
70,4765098.24385959,2
70,4611589.98668129,3
70,3606777.84143594,4
70,3966543.09680632,5
70,3662425.39101384,6
70,4788193.02048814,7
70,4075649.13905875,8
70,4276319.34289253,9
