"dim","best","repetition"
2,0,1
2,0,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
6,2.94678202247572e-05,1
6,5.5682460840634e-07,2
6,2.56656623469614e-05,3
6,1.03106705450142e-05,4
6,1.86390068346285,5
6,6.14408790480083e-06,6
6,4.89766176090349e-06,7
6,3.8376407032693e-05,8
6,8.44315471715463e-08,9
6,0.00136505148775412,10
9,1.37471922487819,1
9,3.46085581347229,2
9,1.16942442784048,3
9,3.10984775973746,4
9,0.999179856586338,5
9,1.51897068137412,6
9,0.891302616609466,7
9,1.68519391849559,8
9,4.851195118761,9
9,0.611854552135122,10
13,10.1986017318985,1
13,10.1519205933714,2
13,10.7944581690351,3
13,10.4530612337564,4
13,11.5996329462965,5
13,10.6809113973794,6
13,11.102332592103,7
13,10.3784576573246,8
13,9.92832830602171,9
13,10.7667538878885,10
16,16.1695723195285,1
16,17.1063150545214,2
16,15.4615147521465,3
16,15.9699863148954,4
16,15.160789776055,5
16,17.5924478805991,6
16,16.4546077058939,7
16,18.102347057911,8
16,17.581123788491,9
16,17.5493899781177,10
19,25.7619710059525,1
19,47.319867104853,2
19,24.9333215566294,3
19,62.4143998136637,4
19,28.9523343970816,5
19,26.081514115398,6
19,36.993127110364,7
19,20.9066885549297,8
19,34.6188237480632,9
19,22.5662698880654,10
23,47.8272581103741,1
23,71.5602960093204,2
23,49.336009306582,3
23,70.1029977909619,4
23,72.230532419627,5
23,71.6567060687545,6
23,70.0658204031761,7
23,43.1316710454618,8
23,74.5241942517904,9
23,50.8390254982507,10
26,146.360092353881,1
26,130.2425481096,2
26,68.8024319744248,3
26,79.0685403634958,4
26,104.609383778714,5
26,62.685086099774,6
26,94.9958684074692,7
26,124.998772095836,8
26,135.258750286261,9
26,107.548414323865,10
29,143.42452182032,1
29,121.384623982842,2
29,200.366419662669,3
29,176.475236369189,4
29,168.353492332484,5
29,151.355015598509,6
29,174.175802773171,7
29,155.21650918749,8
29,178.589051683085,9
29,183.936457117477,10
33,313.967328973158,1
33,298.651256655949,2
33,350.298646111758,3
33,263.270070481239,4
33,197.929297720596,5
33,297.09222266691,6
33,281.773371712898,7
33,272.513724073019,8
33,221.133948086497,9
33,253.185668029524,10
36,346.87303549779,1
36,475.350358034826,2
36,491.159628693215,3
36,508.295259295975,4
36,552.208680482673,5
36,382.872426007672,6
36,411.532916534209,7
36,406.161565589509,8
36,624.979919109517,9
36,443.322575774254,10
39,744.216874543849,1
39,516.308106659811,2
39,667.37709503716,3
39,709.970840712792,4
39,430.623870660519,5
39,426.236422556456,6
39,417.633143810479,7
39,583.468724679838,8
39,448.754010663801,9
39,630.340823941831,10
43,762.823340421548,1
43,969.632833693999,2
43,1083.63326051682,3
43,677.91965663578,4
43,1044.39336788888,5
43,640.621029713839,6
43,684.633453473532,7
43,735.928148662105,8
43,1051.13305383035,9
43,637.77776020906,10
46,1778.55782001449,1
46,1712.10643803693,2
46,1745.36794290026,3
46,1433.74087034288,4
46,1305.08797555891,5
46,1477.74171047101,6
46,795.871330629539,7
46,1424.02397269765,8
46,929.913892962486,9
46,876.992637204193,10
50,2730.89642785952,1
50,1814.10492118303,2
50,1537.30109035476,3
50,1784.56462654611,4
50,901.996508379521,5
50,1167.621006444,6
50,1438.05779505012,7
50,3097.18268512978,8
50,2031.50494987019,9
50,1868.20443668225,10
53,1943.21858504287,1
53,2183.98682665234,2
53,2484.31623003937,3
53,2298.27420001494,4
53,2580.74510090679,5
53,2081.63656846722,6
53,1779.49933125387,7
53,1475.80080108695,8
53,2150.95100058461,9
53,2121.24623949324,10
56,3290.18500424706,1
56,2702.85455424199,2
56,4222.01505107027,3
56,2821.24087508514,4
56,3605.17236133602,5
56,3333.83896432099,6
56,2515.76654837984,7
56,3235.17152498027,8
56,2962.96852652027,9
56,3022.6346818015,10
60,5114.93828996339,1
60,4575.83504860305,2
60,3311.01857194212,3
60,3981.21417833402,4
60,3384.68759510289,5
60,4828.7155162259,6
60,3770.36474520185,7
60,4122.35525414632,8
60,3735.44889121721,9
60,5422.20058375631,10
63,4822.02660232408,1
63,5446.68932943449,2
63,7894.70543948711,3
63,2325.09047137266,4
63,5415.64726190733,5
63,3940.31154939312,6
63,3412.80359445577,7
63,7177.46674989136,8
63,5985.50905743173,9
63,8213.94435204506,10
66,11880.3523833887,1
66,2707.10724422294,2
66,4876.92078087813,3
66,4424.4749867626,4
66,7613.76180038613,5
66,3947.92634922745,6
66,5628.36352976762,7
66,6113.26261307651,8
66,3882.92822004471,9
66,5090.99016007169,10
70,11019.6385001899,1
70,8084.06942407625,2
70,7491.85665194837,3
70,5556.01412307896,4
70,7704.89953204244,5
70,6522.5972468511,6
70,9085.61744648801,7
70,8495.41913830466,8
70,9419.01255757212,9
70,5844.4482402336,10
73,7279.51472369094,1
73,7783.07939576016,2
73,12445.2099452808,3
73,11027.2296272431,4
73,8769.61192766607,5
73,8580.66798064646,6
73,12623.9286167299,7
73,7331.13319529393,8
73,11970.0354889497,9
73,7391.22426743656,10
76,10320.0127082375,1
76,9518.9332584805,2
76,7669.97256188419,3
76,10823.8503458611,4
76,10424.1732512169,5
76,10171.993887153,6
76,8866.20748886507,7
76,8835.77456185413,8
76,16328.6859979387,9
76,9033.5800951785,10
80,11661.0191686792,1
80,18412.5887146037,2
80,12508.7843305731,3
80,14589.1819551254,4
80,13849.4079389579,5
80,11191.9446682946,6
80,13804.5398357588,7
80,17642.5501993388,8
80,13553.734776361,9
80,10208.774745143,10
83,13948.6509261599,1
83,16550.6549804624,2
83,19163.9373810278,3
83,23963.6836070059,4
83,15743.6805126905,5
83,12954.8084018125,6
83,17511.9452095481,7
83,16466.7664723984,8
83,18392.6940250952,9
83,7960.00246286585,10
87,12904.1981777265,1
87,15589.3122664216,2
87,28619.2340128523,3
87,16734.2783496267,4
87,14112.8561953979,5
87,22864.2168670829,6
87,15771.5063434938,7
87,15711.7954999376,8
87,20329.6490251631,9
87,29635.1059863795,10
90,26483.9792895202,1
90,21546.0171198988,2
90,10346.8547856072,3
90,22568.8315169009,4
90,21288.1101928716,5
90,20623.3441325602,6
90,22863.6139873626,7
90,19448.8591010079,8
90,24540.5937241449,9
90,31488.0789575801,10
93,18571.549224327,1
93,15759.6789004719,2
93,17773.0028039718,3
93,18906.2217981435,4
93,31425.8463938095,5
93,15135.1965795272,6
93,17485.2941825813,7
93,20271.2190938259,8
93,20160.876969976,9
93,27103.0611769491,10
97,29880.1562846905,1
97,25047.1367336671,2
97,37264.9203261006,3
97,29916.6578164927,4
97,26718.8877149566,5
97,17721.1798118319,6
97,44542.2187496666,7
97,22122.9399549307,8
97,33563.6430887097,9
97,22392.7302941632,10
100,33984.3439217368,1
100,29955.0575879103,2
100,17026.4221737682,3
100,40861.5374288773,4
100,22435.0068671442,5
100,33991.9480961223,6
100,32707.2471602083,7
100,29151.7667361903,8
100,33169.8599128296,9
100,36148.8087846934,10
103,35951.9038199343,1
103,39765.3112004187,2
103,34129.3417165542,3
103,42075.417299619,4
103,38022.9393206969,5
103,43181.1571203058,6
103,33574.5240748574,7
103,35806.2416680642,8
103,48969.3136512186,9
103,34765.6102323548,10
107,46269.0667916872,1
107,36372.4727788018,2
107,42065.4043604747,3
107,62996.6732819417,4
107,45533.490981075,5
107,52293.0879814706,6
107,47362.1862801186,7
107,43822.5375600671,8
107,45250.3687419997,9
107,46408.3316578834,10
110,58670.0775403599,1
110,37399.603448975,2
110,40586.6463598939,3
110,59492.9899461816,4
110,47461.9616924859,5
110,41602.1049320239,6
110,66098.6305076211,7
110,47363.293118021,8
110,37510.4974930479,9
110,53041.1452237112,10
113,55399.888084771,1
113,39783.8552410553,2
113,42931.6403215915,3
113,50129.1233143245,4
113,46245.2649090376,5
113,41772.4119906111,6
113,42280.5843091267,7
113,49738.0066440852,8
113,41292.017486707,9
113,63938.1623411928,10
117,66096.4582472597,1
117,68754.7541514432,2
117,60248.8674595615,3
117,52289.1267907126,4
117,50651.9741227539,5
117,72282.0010606126,6
117,50546.4084819796,7
117,42042.3729791905,8
117,56400.1451861265,9
117,70068.7443098317,10
120,70317.5950211076,1
120,56827.8078324892,2
120,65683.6250607385,3
120,86043.6523673376,4
120,84641.1372676511,5
120,59538.5268306548,6
120,72502.0293827687,7
120,100441.33714016,8
120,54435.9829429282,9
120,51814.3249340736,10
124,93156.1381445984,1
124,89129.6516905361,2
124,78425.6253716366,3
124,60350.1896281436,4
124,69003.6290933311,5
124,72114.3172527919,6
124,83225.7532455619,7
124,55025.6676724837,8
124,81932.7803745624,9
124,73460.3232668668,10
127,63258.8900313835,1
127,53023.7242813133,2
127,67006.0492130062,3
127,60884.8752078362,4
127,87216.0953022148,5
127,82801.0498602925,6
127,75406.6427886775,7
127,63019.0666953093,8
127,102665.781947686,9
127,72407.5443991791,10
130,97312.9226571212,1
130,91621.8515302074,2
130,102894.788195722,3
130,71289.0356936437,4
130,75706.6770640008,5
130,121854.919014888,6
130,86231.2023238345,7
130,81480.8060273129,8
130,121063.742388235,9
130,78407.7333478692,10
134,74501.8471684134,1
134,86513.0333329034,2
134,94136.6315942746,3
134,78462.7999569194,4
134,79451.0470206374,5
134,90764.3695586437,6
134,80681.8121730204,7
134,75800.4440005357,8
134,126419.285275122,9
134,100875.948434165,10
137,131906.715673506,1
137,105987.819402985,2
137,101377.197845062,3
137,94485.2950598352,4
137,125844.921714818,5
137,92947.0311027084,6
137,94407.6231065554,7
